KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
hws_dlg_s0m8Wae,Story ...,,,,,,,,,,,,,,,,
hws_dlg_Vaimq8C,{ElementOutput},,,,,,,,,,,,,,,,
hws_dlg_ui8ii8q,[Time Space Continuum Generator] > Lux Element,,,,,,,,,,,,,,,,
hws_dlg_qx84u8i,[Time Space Continuum Generator] > Terra Element,,,,,,,,,,,,,,,,
hws_dlg_O6GWmW4,I greet you {0}. Finally we meet. This Time Space Continuum Generator is a different one than on the HWS+ servers. My purpose is to teach you my meta and normal abilities. See it as practice for the real Story out there. \nLet's move on to EWS².,,,,,,,,,,,,,,,,
hws_dlg_4ucNmiu,<i><color=#ffffff>Continue</color></i>,,,,,,,,,,,,,,,,
hws_dlg_4CEuCGG,Why are you here?,,,,,,,,,,,,,,,,
hws_dlg_380mSW8,What does Time Space Continuum Generator means?,,,,,,,,,,,,,,,,
hws_dlg_0CCi4OO,I greet you {0}. Finally we meet. We don't have too much time so I try to make it short. I am not the real Time Space Continuum Generator. I was visually replicated to guide your next steps and prepare you for the real adventure and destiny out there.,,,,,,,,,,,,,,,,
hws_dlg_C8eWr8W,EWS² stands for Elemental Weapon System or simply speaking the new Rock-Paper-Scissor system in HWS. The complete overview about that can be found in the Elemental Ship behind me. But as an example I am the <color=#fff700>Lux Element</color> and does <color=#ffffff>200% bonus Damage</color> against the <color=#555555>Nox Element</color>. Furthermore my <color=#ffffff>meta ability</color> are lighter devices / blocks and longer shooting range.,,,,,,,,,,,,,,,,
hws_dlg_mCmWeC8,"As I said, my destiny here is to teach you what awaits for you. The real TSCG (Time Space Continuum Generator) is located on <b><color=#ffffff>ECC</color></b>. There you will find more answers to your questions.",,,,,,,,,,,,,,,,
