KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_i8uQm,[c][ffffff]HWS+ Creative Scenario[-][/c],,,,,,,,,,,,,,,,
pda_mGCnS,[c][019245][b]Welcome to HWS+ | The Creative Scenario[/b][-][/c]\n\nWith this Scenario you have the latest [c][fdb100]HWS+ Configs[-][/c] and other files included that helps you to create structures that work on [c][fdb100]HWS+ EU / NA[-][/c].\nFor more information go here:\n[url=https://forum.empyrion-homeworld.net/t/hws-config-effectiveness-weapon-system-ews/9161][u][c][019245]https://forum.empyrion-homeworld.net/t/hws-config-effectiveness-weapon-system-ews/9161[-][/c][/u][/url],,,,,,,,,,,,,,,,
pda_4GSiW,Welcome to HWS+,,,,,,,,,,,,,,,,
pda_qeCKm,Initializing HWS+ setup...,,,,,,,,,,,,,,,,
pda_08KKi,"Enjoy and if you have issues or feedback go here please:\n[c][019245][u][url=https://github.com/B-iggy/HWS-Plus-Creative-Scenario]https://github.com/B-iggy/HWS-Plus-Creative-Scenario[/url][/u][-][/c]\n[u][/u]\n[i]Note: if you want to switch between Creative and Survival mode open the console and execute ""cm"".[/i][i][/i]\n[i][/i]\n[i]See you on [c][019245][b]HWS+[/b][-][/c]![/i]\n[i][c][fdb100][sub]RexXxuS[/sub][-][/c][/i]",,,,,,,,,,,,,,,,
pda_maOW4,"Enjoy and keep this Scenario updated from here:\n[c][019245][u][url=https://github.com/B-iggy/HWS-Plus-Creative-Scenario]https://github.com/B-iggy/HWS-Plus-Creative-Scenario[/url][/u][-][/c]\n[u][/u]\n[i]Note: if you want to switch between Creative and Survival mode in SP, open the console and execute ""cm"".[/i]\n[i][/i]\n[i]See you on [c][019245][b]HWS+[/b][-][/c]![/i]\n[i][c][fdb100][sub]RexXxuS[/sub][-][/c][/i]",,,,,,,,,,,,,,,,
pda_OuGgu,"[b][c][ffffff]NOTE: [-][/c][/b]you are currently in a PvE Zone. Doing no damage. Fly 1km away [i](check the PvP symbol at bottom left)[/i]\n \nEnjoy and if you have issues or feedback go here please:\n[c][019245][u][url=https://github.com/B-iggy/HWS-Plus-Creative-Scenario]https://github.com/B-iggy/HWS-Plus-Creative-Scenario[/url][/u][-][/c]\n[u][/u]\n[i]Note: if you want to switch between Creative and Survival mode in SP, open the console and execute ""cm"".[/i]\n[i][/i]\n[i]See you on [c][019245][b]HWS+[/b][-][/c]![/i]\n[i][c][fdb100][sub]RexXxuS[/sub][-][/c][/i]",,,,,,,,,,,,,,,,
pda_0m4aq,[b][c][ffffff]NOTE: [-][/c][/b]you are currently in a PvE Zone. Doing no damage. Fly 1km away [i](check the PvP symbol at bottom left)[/i],,,,,,,,,,,,,,,,
hws_pda_maeiqeW,Check the new HWS+ Techtree,,,,,,,,,,,,,,,,
hws_pda_O5mDWK0,Press F3,,,,,,,,,,,,,,,,
hws_pda_84t8Gqa,There is a lot of game content waiting for you in HWS+,,,,,,,,,,,,,,,,
hws_pda_8eOGaGr,"Enjoy and if you have issues or feedback go here please:\n[c][019245][u][url=https://github.com/B-iggy/HWS-Plus-Creative-Scenario]https://github.com/B-iggy/HWS-Plus-Creative-Scenario[/url][/u][-][/c]\n[u][/u]\n[i]Note: if you want to switch between Creative and Survival mode open the console and execute ""cm"".[/i][i][/i]\n[i][/i]\n[i]See you on [c][019245][b]HWS+[/b][-][/c]![/i]\n[i][c][fdb100][sub]RexXxuS[/sub][-][/c][/i]",,,,,,,,,,,,,,,,
pda_u0eKKea,EWS² Test,,,,,,,,,,,,,,,,
pda_kaOIWW0,Fly to the EWS² Wall,,,,,,,,,,,,,,,,
pda_GmCGgPe,Test your Elements,,,,,,,,,,,,,,,,
pda_qOemSqC,"To compete in HWS+, you have to learn the EWS² terminology. For that the EWS² helps quite good.",,,,,,,,,,,,,,,,
pda_Ga2CmuW,[c][ffffff][b]Remember:[/b][-][/c] behind your cockpit in the Elemental Ship is a graphic showing you which Element is effective against what.,,,,,,,,,,,,,,,,
pda_8i0e0u8,"To compete in [c][019245]HWS+[-][/c], you have to learn the [c][ffffff]EWS²[-][/c] terminology. For that the EWS² Wall in front of you helps quite good.\n\nGood Luck!",,,,,,,,,,,,,,,,
